epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
89,2343.04,1.90917,3.98226,1.53519,0.55443,0.43287,0.4865,0.30366,1.77853,3.3356,1.43419,0.00366175,0.00366175,0.00366175
90,2369.31,1.84769,3.91669,1.50253,0.55609,0.4375,0.48734,0.31102,1.69081,3.27944,1.38861,0.00356129,0.00356129,0.00356129
91,2396.28,1.8522,3.82029,1.50556,0.59499,0.42246,0.50143,0.31656,1.72762,3.2101,1.40196,0.00346146,0.00346146,0.00346146
92,2424.19,1.85962,3.89281,1.50474,0.58583,0.44545,0.50814,0.32226,1.70459,3.17377,1.38497,0.00336231,0.00336231,0.00336231
93,2450.02,1.9241,4.00692,1.52881,0.55504,0.45525,0.50573,0.32228,1.69905,3.17086,1.38799,0.00326388,0.00326388,0.00326388
94,2475.94,1.8564,3.94427,1.51814,0.56857,0.43045,0.50099,0.31976,1.71478,3.18198,1.39182,0.00316622,0.00316622,0.00316622
95,2501.89,1.85757,3.85605,1.51834,0.56893,0.44017,0.49769,0.3217,1.67054,3.19222,1.37319,0.00306936,0.00306936,0.00306936
96,2528.18,1.85044,3.90253,1.52046,0.56717,0.44007,0.49453,0.32107,1.66672,3.26234,1.3682,0.00297335,0.00297335,0.00297335
97,2553.98,1.85868,3.79024,1.49296,0.57012,0.44783,0.50181,0.32403,1.67705,3.15278,1.37449,0.00287823,0.00287823,0.00287823
98,2579.96,1.86996,3.76281,1.49622,0.57524,0.4424,0.50813,0.32911,1.6698,3.09888,1.3658,0.00278405,0.00278405,0.00278405
99,2605.99,1.78157,3.68916,1.4904,0.56954,0.44802,0.50943,0.33376,1.65236,3.12733,1.36289,0.00269084,0.00269084,0.00269084
100,2632.01,1.83296,3.7467,1.48543,0.57134,0.45256,0.51612,0.33359,1.68731,3.10596,1.38114,0.00259864,0.00259864,0.00259864
101,2657.94,1.87872,3.75258,1.5083,0.57385,0.44618,0.51261,0.33104,1.67322,3.08764,1.36287,0.0025075,0.0025075,0.0025075
102,2685.21,1.89711,3.67126,1.49216,0.56574,0.43112,0.49438,0.32019,1.65958,3.25453,1.36591,0.00241746,0.00241746,0.00241746
103,2712.72,1.81837,3.75429,1.48416,0.57583,0.44468,0.50941,0.33212,1.65042,3.09246,1.35722,0.00232855,0.00232855,0.00232855
104,2739.84,1.83793,3.75377,1.48398,0.59891,0.43877,0.51386,0.33161,1.6832,3.07424,1.37286,0.00224081,0.00224081,0.00224081
105,2766.93,1.81721,3.73213,1.46851,0.57894,0.45714,0.5209,0.33805,1.6523,3.04717,1.35585,0.00215429,0.00215429,0.00215429
106,2794.25,1.83439,3.70318,1.48939,0.55611,0.47335,0.51846,0.33751,1.64216,3.02831,1.35176,0.00206901,0.00206901,0.00206901
107,2821.45,1.83759,3.65795,1.4694,0.59211,0.43482,0.50313,0.32452,1.67616,3.0803,1.37041,0.00198503,0.00198503,0.00198503
108,2849.19,1.84666,3.71641,1.49272,0.59182,0.45084,0.51974,0.33694,1.66182,3.01463,1.35928,0.00190237,0.00190237,0.00190237
109,2874.98,1.8277,3.65947,1.47871,0.59352,0.45527,0.52309,0.33893,1.65527,3.01329,1.35333,0.00182107,0.00182107,0.00182107
110,2900.93,1.76181,3.60728,1.46277,0.59479,0.44695,0.51654,0.33626,1.65375,3.04991,1.35477,0.00174116,0.00174116,0.00174116
111,2926.87,1.81263,3.54294,1.46933,0.5827,0.45707,0.52179,0.33929,1.64034,3.02082,1.34823,0.00166269,0.00166269,0.00166269
112,2952.65,1.84093,3.60302,1.48253,0.59847,0.44398,0.51688,0.33671,1.64696,3.03595,1.35388,0.00158569,0.00158569,0.00158569
113,2978.66,1.80964,3.4976,1.44615,0.57997,0.45731,0.52113,0.33892,1.64615,3.03998,1.35217,0.00151018,0.00151018,0.00151018
114,3004.77,1.82165,3.53208,1.47415,0.59708,0.44537,0.52348,0.33968,1.64875,3.0555,1.35242,0.00143621,0.00143621,0.00143621
115,3030.85,1.82813,3.59675,1.48531,0.60288,0.44877,0.52989,0.34307,1.65312,3.01716,1.35377,0.0013638,0.0013638,0.0013638
116,3056.65,1.78684,3.51034,1.46245,0.61395,0.45119,0.53187,0.34329,1.65542,2.9907,1.35193,0.00129299,0.00129299,0.00129299
117,3083.39,1.82335,3.55272,1.47182,0.60208,0.4494,0.5335,0.34686,1.63556,2.99045,1.34528,0.00122381,0.00122381,0.00122381
118,3110.81,1.80609,3.51945,1.46498,0.59796,0.44926,0.52967,0.34424,1.64214,3.00204,1.34843,0.00115629,0.00115629,0.00115629
119,3137.89,1.76412,3.52091,1.4482,0.60875,0.44021,0.52469,0.3401,1.65021,3.0121,1.35175,0.00109045,0.00109045,0.00109045
120,3165.31,1.76558,3.5271,1.44642,0.58326,0.46554,0.52796,0.34359,1.632,2.99623,1.34497,0.00102633,0.00102633,0.00102633
121,3192.16,1.77395,3.49686,1.45526,0.59577,0.45537,0.53234,0.34669,1.63488,2.98168,1.3466,0.00096396,0.00096396,0.00096396
122,3219.25,1.81306,3.54836,1.46296,0.6062,0.44914,0.531,0.34629,1.62826,2.9729,1.33942,0.00090336,0.00090336,0.00090336
123,3246.11,1.76782,3.538,1.44889,0.61604,0.44881,0.53314,0.34643,1.62847,2.9729,1.34121,0.000844558,0.000844558,0.000844558
124,3271.89,1.82963,3.48832,1.45918,0.60714,0.45001,0.53062,0.34732,1.61745,2.96641,1.33541,0.000787582,0.000787582,0.000787582
125,3297.73,1.83292,3.58959,1.46999,0.61115,0.44553,0.53254,0.34606,1.63519,2.96977,1.33956,0.000732456,0.000732456,0.000732456
126,3323.69,1.75805,3.46472,1.4501,0.59981,0.4512,0.5303,0.34563,1.6219,2.96392,1.33472,0.000679203,0.000679203,0.000679203
127,3350.05,1.80151,3.48239,1.45557,0.60851,0.44866,0.52907,0.34381,1.63973,2.9622,1.34427,0.000627848,0.000627848,0.000627848
128,3375.89,1.75549,3.47817,1.4543,0.59931,0.4574,0.53129,0.34608,1.63669,2.94931,1.34221,0.000578413,0.000578413,0.000578413
129,3401.63,1.83375,3.51094,1.45676,0.58941,0.46168,0.53246,0.34619,1.63299,2.94548,1.33783,0.00053092,0.00053092,0.00053092
130,3427.66,1.76422,3.46192,1.43908,0.60286,0.45202,0.53127,0.34577,1.62842,2.94677,1.33691,0.000485389,0.000485389,0.000485389
131,3453.55,1.80353,3.49815,1.46468,0.59692,0.45652,0.53092,0.3467,1.62428,2.93884,1.33572,0.00044184,0.00044184,0.00044184
132,3479.8,1.77112,3.4882,1.45692,0.59979,0.45467,0.53367,0.34841,1.62561,2.94424,1.33624,0.000400294,0.000400294,0.000400294
133,3506.99,1.81022,3.45431,1.44844,0.59932,0.4558,0.53297,0.34905,1.6204,2.94431,1.33532,0.000360766,0.000360766,0.000360766
134,3533.86,1.75187,3.44627,1.44649,0.58603,0.46436,0.53243,0.34837,1.62155,2.93942,1.33563,0.000323276,0.000323276,0.000323276
135,3559.74,1.8042,3.44037,1.45845,0.58407,0.46701,0.53378,0.34995,1.61701,2.94233,1.33356,0.00028784,0.00028784,0.00028784
136,3585.69,1.76332,3.42431,1.44433,0.5733,0.46961,0.53159,0.34864,1.61716,2.94602,1.33301,0.000254473,0.000254473,0.000254473
137,3611.68,1.78899,3.3805,1.4444,0.56854,0.4718,0.534,0.35111,1.61816,2.93742,1.33332,0.000223189,0.000223189,0.000223189
138,3638.15,1.77303,3.50659,1.46035,0.57382,0.47079,0.53421,0.35051,1.62233,2.93952,1.33448,0.000194003,0.000194003,0.000194003
139,3664.87,1.72841,3.44857,1.45932,0.57605,0.46705,0.53241,0.34981,1.61976,2.94643,1.33393,0.000166927,0.000166927,0.000166927
140,3691.48,1.74438,3.37343,1.43618,0.58934,0.46352,0.53492,0.351,1.62309,2.93522,1.33477,0.000141973,0.000141973,0.000141973
141,3718.82,1.66465,3.1548,1.47081,0.60057,0.45792,0.53352,0.35002,1.62248,2.94832,1.3371,0.000119153,0.000119153,0.000119153
142,3744.91,1.63751,3.01924,1.4532,0.60094,0.45207,0.52879,0.34609,1.6213,2.96838,1.33905,9.84752e-05,9.84752e-05,9.84752e-05
143,3771.09,1.6044,3.06297,1.45672,0.59415,0.45032,0.52458,0.34321,1.62565,2.98558,1.34226,7.99498e-05,7.99498e-05,7.99498e-05
144,3798.27,1.64905,3.0602,1.48516,0.59347,0.4533,0.52298,0.34251,1.62332,2.98656,1.3417,6.35847e-05,6.35847e-05,6.35847e-05
145,3825.85,1.64337,3.07534,1.46441,0.59081,0.45491,0.52484,0.34403,1.62354,2.98378,1.34211,4.93871e-05,4.93871e-05,4.93871e-05
146,3853.14,1.66821,3.07483,1.46401,0.59156,0.45273,0.52494,0.34445,1.62264,2.98152,1.34192,3.73631e-05,3.73631e-05,3.73631e-05
147,3880.62,1.6723,3.04971,1.47631,0.59194,0.45234,0.52474,0.34446,1.62122,2.98213,1.34101,2.75182e-05,2.75182e-05,2.75182e-05
148,3908.26,1.66205,2.98816,1.45643,0.59725,0.45067,0.52407,0.3441,1.62151,2.98338,1.34021,1.98565e-05,1.98565e-05,1.98565e-05
149,3935.67,1.71874,3.15506,1.47987,0.5947,0.45015,0.52389,0.34354,1.62319,2.98248,1.34057,1.43815e-05,1.43815e-05,1.43815e-05
150,3961.73,1.6607,3.10054,1.48168,0.59687,0.44933,0.5235,0.34386,1.62151,2.98408,1.33984,1.10955e-05,1.10955e-05,1.10955e-05
