epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
119,1863.62,1.71441,3.07491,1.36563,0.61357,0.50796,0.56315,0.37686,1.57072,2.81552,1.25604,0.00109045,0.00109045,0.00109045
120,1878.79,1.7126,3.07474,1.36803,0.61824,0.51122,0.56875,0.37868,1.59592,2.78878,1.26586,0.00102633,0.00102633,0.00102633
121,1894.12,1.71823,3.07679,1.37483,0.61972,0.51243,0.57079,0.37805,1.60295,2.7754,1.26652,0.00096396,0.00096396,0.00096396
122,1909.43,1.75757,3.1211,1.3817,0.62726,0.50352,0.57048,0.38089,1.58938,2.78371,1.26368,0.00090336,0.00090336,0.00090336
123,1924.72,1.71854,3.07924,1.3675,0.61243,0.50833,0.56378,0.37755,1.5812,2.79636,1.26043,0.000844558,0.000844558,0.000844558
124,1940.15,1.77304,3.08268,1.37451,0.61898,0.49288,0.56215,0.37726,1.58259,2.79013,1.25869,0.000787582,0.000787582,0.000787582
125,1955.48,1.78796,3.14407,1.3898,0.62499,0.49421,0.56274,0.37813,1.57528,2.77506,1.25528,0.000732456,0.000732456,0.000732456
126,1971.23,1.71156,3.03852,1.36574,0.60754,0.50796,0.56492,0.38084,1.56485,2.76884,1.25214,0.000679203,0.000679203,0.000679203
127,1986.66,1.74627,3.05851,1.37243,0.58924,0.52852,0.56298,0.37733,1.58308,2.78454,1.26189,0.000627848,0.000627848,0.000627848
128,2002.19,1.69368,3.04992,1.36894,0.60947,0.50707,0.56373,0.3788,1.57668,2.77854,1.25678,0.000578413,0.000578413,0.000578413
129,2017.88,1.77594,3.08257,1.3748,0.63599,0.48929,0.56565,0.37942,1.57374,2.76819,1.25426,0.00053092,0.00053092,0.00053092
130,2033.41,1.71196,3.04753,1.36071,0.61629,0.50784,0.56962,0.38072,1.58643,2.75105,1.25905,0.000485389,0.000485389,0.000485389
131,2048.65,1.76225,3.08319,1.38668,0.60774,0.50643,0.5689,0.38359,1.56353,2.74953,1.24891,0.00044184,0.00044184,0.00044184
132,2064.01,1.7202,3.07125,1.37432,0.59575,0.51897,0.56893,0.38186,1.57554,2.75237,1.25286,0.000400294,0.000400294,0.000400294
133,2079.25,1.76595,3.06428,1.37288,0.60772,0.51439,0.56764,0.38314,1.56667,2.74853,1.25146,0.000360766,0.000360766,0.000360766
134,2094.72,1.70073,3.03136,1.37289,0.60715,0.51649,0.56833,0.38365,1.56992,2.75417,1.25385,0.000323276,0.000323276,0.000323276
135,2110.42,1.7505,3.02349,1.37782,0.6003,0.52534,0.57091,0.3852,1.56769,2.75431,1.25295,0.00028784,0.00028784,0.00028784
136,2125.67,1.71423,3.02833,1.36709,0.62054,0.51417,0.57366,0.38674,1.56758,2.74097,1.25157,0.000254473,0.000254473,0.000254473
137,2140.68,1.73679,2.99264,1.36554,0.62977,0.51,0.5736,0.38695,1.56739,2.73799,1.25212,0.000223189,0.000223189,0.000223189
138,2156.1,1.71585,3.0728,1.37881,0.61042,0.51907,0.57177,0.3858,1.57034,2.74362,1.25352,0.000194003,0.000194003,0.000194003
139,2171.4,1.67782,3.01643,1.38078,0.61537,0.50666,0.57117,0.38472,1.57215,2.74609,1.25373,0.000166927,0.000166927,0.000166927
140,2186.83,1.68728,2.9688,1.3556,0.61199,0.51322,0.57342,0.38618,1.56958,2.73692,1.25145,0.000141973,0.000141973,0.000141973
141,2203.66,1.60303,2.68766,1.37736,0.61125,0.51622,0.57132,0.38525,1.56387,2.74509,1.25294,0.000119153,0.000119153,0.000119153
142,2219.07,1.56564,2.56366,1.35182,0.61455,0.50996,0.56674,0.38281,1.56054,2.76679,1.25398,9.84752e-05,9.84752e-05,9.84752e-05
143,2234.62,1.55478,2.59047,1.3732,0.61887,0.50464,0.56518,0.38246,1.55371,2.77452,1.25119,7.99498e-05,7.99498e-05,7.99498e-05
144,2250.18,1.59835,2.59537,1.39268,0.62726,0.49979,0.56626,0.38315,1.55036,2.77274,1.24967,6.35847e-05,6.35847e-05,6.35847e-05
145,2265.58,1.58942,2.63159,1.37689,0.61938,0.50572,0.56799,0.38466,1.5481,2.77015,1.24821,4.93871e-05,4.93871e-05,4.93871e-05
146,2280.93,1.60482,2.5972,1.37165,0.63872,0.49613,0.56677,0.38378,1.54948,2.77477,1.24884,3.73631e-05,3.73631e-05,3.73631e-05
147,2296.14,1.60794,2.57209,1.37882,0.62557,0.50202,0.56591,0.3834,1.54955,2.77348,1.24885,2.75182e-05,2.75182e-05,2.75182e-05
148,2311.53,1.59419,2.54911,1.36096,0.62502,0.50335,0.56683,0.38384,1.54931,2.7696,1.2481,1.98565e-05,1.98565e-05,1.98565e-05
149,2326.83,1.65576,2.63779,1.38394,0.63128,0.50086,0.56725,0.3839,1.54974,2.76495,1.24781,1.43815e-05,1.43815e-05,1.43815e-05
150,2342.32,1.60265,2.61723,1.38841,0.62829,0.50081,0.56686,0.38394,1.54748,2.76571,1.24667,1.10955e-05,1.10955e-05,1.10955e-05
